,total duration,total changes,speed,fastest mode,fastest overall mode,walk share,population,departure time
0,614.5,1.0,3.114512742484697,transit,car,31.65174938974776,4870.0,15
1,1193.9,0.0,2.3644524587182096,transit,car,49.74453471815061,4733.0,15
2,783.5,0.0,3.1144888309018426,transit,car,46.394384173580086,9445.0,15
3,712.9,0.0,0.3515315495784242,foot,car,83.16734464861831,620.0,15
4,490.5,0.0,4.245788288749988,transit,car,38.83792048929664,652.0,15
5,1552.2,1.0,1.924225041750094,transit,car,18.82489369926556,2810.0,15
6,1426.5,1.0,3.5958390305322414,transit,car,20.084121976866456,6446.0,15
7,1295.9,1.0,2.4989642613926764,transit,car,39.81017053785013,2330.0,15
8,1071.1,0.0,4.303863112027667,transit,car,4.770796377555785,9445.0,15
9,1772.8,1.0,2.722253290179556,transit,car,8.619133574007222,4733.0,15
10,387.1,0.0,3.8636593379992674,transit,transit,38.00051666236114,7474.0,15
11,1036.5,0.0,3.003471987072152,transit,car,36.32416787264834,1035.0,15
12,299.0,0.0,5.318489946953077,transit,transit,39.79933110367893,10733.0,15
13,1360.7,1.0,1.864977622013808,transit,car,16.21959285661792,620.0,15
14,1235.0,1.0,3.768242180109421,transit,car,17.408906882591094,2701.0,15
15,1104.4,1.0,2.577747802371869,transit,car,40.23904382470119,829.0,15
16,811.3,0.0,3.6858942403199766,transit,car,26.04461974608653,7255.0,15
17,1213.0,1.0,2.354121333323282,transit,car,25.8037922506183,4870.0,15
18,486.2,0.0,1.414333228958883,transit,car,87.65939942410532,1520.0,15
19,1556.7,1.0,1.6422264161590805,transit,car,34.4767777991906,7474.0,15
20,1321.0,0.0,2.679839112730638,transit,car,50.03785011355034,3156.0,15
21,1540.6,1.0,2.846092948127935,transit,car,33.792029079579386,6446.0,15
22,1114.9,1.0,2.42842540563312,transit,car,46.18351421652166,4733.0,15
23,1271.9,0.0,1.091883897448992,transit,car,81.13059202767514,10733.0,15
24,554.3,0.0,3.2870236027789703,transit,car,67.52661013891395,570.0,15
25,995.7,0.0,1.731256864025612,transit,car,87.94817716179573,829.0,15
26,769.1,0.0,2.121326938974146,transit,car,53.19204264725003,2751.0,15
27,1478.5,1.0,1.410219345537313,transit,car,43.18566114305039,482.0,15
28,724.9,1.0,3.082836316760188,transit,car,25.50696647813492,3156.0,15
29,1300.4,1.0,2.501214835055186,transit,car,30.79052599200246,6446.0,15
30,1840.9,2.0,1.5842222941309894,transit,car,15.258840784398933,2751.0,15
31,857.9,0.0,0.671897003576318,transit,car,93.00617787620936,570.0,15
32,1341.5,0.0,3.748061884602345,transit,car,23.9657100260902,1001.0,15
33,2043.2,1.0,2.5576659712841616,transit,car,20.71260767423649,620.0,15
34,657.5,0.0,2.8580238696468085,transit,car,63.49809885931559,3715.0,15
35,1306.9,0.0,2.686847538425148,transit,car,49.498813987298185,3324.0,15
36,513.9,0.0,3.758486872155005,transit,car,53.29830706363106,570.0,15
37,1575.6,1.0,1.855578845890048,transit,car,23.83853769992384,2701.0,15
38,1449.9,1.0,3.358509873332754,transit,car,25.512104283054,129.0,15
39,1319.3,1.0,2.2161678354521053,transit,car,45.42560448722807,7474.0,15
40,384.5,0.0,4.18291686403345,transit,transit,21.976592977893368,129.0,15
41,934.1,1.0,2.1435120412474125,transit,car,42.19034364629055,3156.0,15
42,900.5,1.0,1.8854016560363804,transit,car,20.044419766796224,10555.0,15
43,1012.8,0.0,1.3126370864841446,transit,car,88.1516587677725,570.0,15
44,939.9,0.0,3.595690378825262,transit,car,42.54707947654006,7474.0,15
45,861.6,0.0,2.693312524718184,transit,car,58.21727019498608,1242.0,15
46,2115.9,1.0,2.4793041514338667,transit,car,23.436835389196087,574.0,15
47,1925.3,1.0,2.776301744258124,transit,car,37.67205110891809,829.0,15
48,644.2,0.0,1.3917913083447495,transit,car,62.74448928904068,829.0,15
49,1405.9,1.0,1.4482435709583068,transit,car,35.98406714560068,2701.0,15
50,1280.2,1.0,2.938372080211922,transit,car,39.07201999687549,570.0,15
51,1209.6,1.0,1.6859643962899398,transit,car,60.31746031746032,10555.0,15
52,738.0,0.0,2.306175922940509,transit,car,75.60975609756098,4733.0,15
53,1779.6,1.0,1.3667763345817292,transit,car,46.05529332434254,620.0,15
54,1674.0,1.0,2.9432056773966533,transit,car,39.06810035842294,2751.0,15
55,1543.4,1.0,2.1298091712810123,transit,car,57.23726836853699,9445.0,15
56,402.3,0.0,3.330155789477678,transit,car,40.34302759134973,1677.0,15
57,324.0,0.0,1.1502087559937355,transit,car,81.48148148148148,8908.0,15
58,1838.6,1.0,1.6586606246619215,transit,car,37.9963015337757,1520.0,15
59,1207.7,1.0,2.448587849512059,transit,car,40.38254533410616,3156.0,15
60,361.4,0.0,1.467055424540258,transit,car,83.39789706696183,620.0,15
61,1052.7,0.0,1.571450724681096,transit,car,82.90111142775719,3156.0,15
62,1417.4,0.0,2.5476353730105563,transit,car,28.03725130520672,3715.0,15
63,1346.8,0.0,1.5757390477316533,transit,car,46.53994653994654,10555.0,15
64,2340.7,1.0,1.9312188535053447,transit,car,30.78993463493827,4870.0,15
65,2444.1,1.0,2.200559634984875,transit,car,58.26684669203387,10555.0,15
66,2427.6,1.0,1.409501693706203,transit,car,75.28423133959465,6446.0,15
67,1625.2,0.0,1.4617475517592946,transit,car,85.23258675855278,3156.0,15
68,811.2,0.0,3.211824217854183,transit,car,33.43195266272189,2701.0,15
69,1212.9,1.0,2.8479260625970286,transit,car,30.74449666089537,10733.0,15
70,787.2,1.0,2.959825953614551,transit,car,46.64634146341463,4733.0,15
71,944.2,0.0,0.4804394968407891,foot,car,93.64541410718068,2911.0,15
72,656.2,0.0,3.0952728707930453,transit,car,54.282231027125874,1001.0,15
73,1145.8,1.0,1.9477448088318807,transit,car,37.16180834351545,2810.0,15
74,630.8,0.0,1.9803770518838968,transit,car,80.97653772986683,1158.0,15
75,1103.0,0.0,1.457471084348447,transit,car,78.24116047144152,9445.0,15
76,961.8,0.0,1.555353055351714,transit,car,68.80848409232688,570.0,15
77,1067.4,1.0,1.8320635564996408,transit,car,49.40978077571669,2751.0,15
78,1396.0,1.0,1.3084845939588683,transit,car,48.42406876790831,2911.0,15
79,1516.4,0.0,0.8379832011613805,foot,car,92.08652070693748,2751.0,15
80,624.1,0.0,0.1351837659847589,foot,car,90.3861560647332,56.0,15
81,845.8,0.0,1.4507135551467147,transit,car,78.71837313785765,570.0,15
82,1500.1,0.0,2.2327440827320566,transit,car,44.00373308446104,10555.0,15
83,1309.5,0.0,1.6551598493741877,transit,car,67.92668957617411,7474.0,15
84,365.6,0.0,3.419656281844224,transit,car,50.76586433260393,2123.0,15
85,707.3,0.0,2.326871098674138,transit,car,40.61925632687686,4466.0,15
86,1142.7,1.0,1.7777993673064052,transit,car,26.489892360199526,6446.0,15
87,811.0,0.0,1.8597506392116707,transit,car,63.00863131935881,620.0,15
88,1279.5,0.0,1.559970372603328,transit,car,76.55334114888629,8908.0,15
89,2002.8,1.0,1.4790108450454695,transit,car,37.08807669263032,6446.0,15
90,2326.5,1.0,2.1351461158331344,transit,car,50.999355254674406,3324.0,15
91,1809.8,1.0,1.6761299561695746,transit,car,56.90131506243785,2911.0,15
92,784.9,0.0,1.2368957056413703,transit,car,69.42285641482991,3156.0,15
93,1546.6,1.0,1.3486900504822452,transit,car,41.80783654467864,3715.0,15
94,1420.9,1.0,2.736382128721867,transit,car,45.10521500457457,829.0,15
95,1350.3,1.0,1.5944700415705664,transit,car,64.45234392357254,1355.0,15
96,1966.4,0.0,2.0991915134212724,transit,car,66.43612693246541,3715.0,15
97,1906.1,1.0,2.6454157294498337,transit,car,46.487592466292426,9445.0,15
98,1889.6,1.0,1.8005213871006966,transit,car,68.24724809483489,620.0,15
99,1087.2,0.0,1.8546065794664683,transit,car,77.92494481236204,620.0,15
100,495.5,0.0,0.5602968598238691,foot,car,87.89101917255297,1242.0,15
101,814.9,0.0,1.7466865999359396,transit,car,77.91140017180022,0.0,15
102,1679.6,0.0,2.047091225555363,transit,car,49.988092402953086,0.0,15
103,1489.0,0.0,1.4163195216436295,transit,car,71.79314976494291,3.0,15
104,1553.6,0.0,2.9221265281402307,transit,car,53.65602471678682,,15
105,1955.3,1.0,2.1834077067691533,transit,car,47.83409195519869,,15
106,1961.9,0.0,0.8046952831747227,foot,car,96.94174014985474,,15
107,2299.0,1.0,1.7041877504581593,transit,car,50.41322314049587,,15
108,634.0,0.0,2.662306669783805,transit,car,71.60883280757098,,15
109,426.0,0.0,1.316033614349032,transit,car,85.91549295774648,,15
110,1810.0,1.0,2.068893748214411,transit,car,30.386740331491712,,15
111,1489.7,1.0,2.4058076096369416,transit,car,39.58515137275962,,15
112,380.7,0.0,2.042908341708154,transit,car,84.23955870764382,,15
113,761.6,0.0,1.6502749050630436,transit,car,84.24369747899159,,15
114,1136.7,0.0,2.2063315877371026,transit,car,36.65874901029295,,15
115,946.1,0.0,1.8748364054568925,transit,car,68.29087834266991,,15
116,597.9,0.0,2.611723275128829,transit,car,69.89463120923232,,15
117,939.6,0.0,1.938051503541157,transit,car,55.30012771392082,,15
118,1412.1,0.0,1.217562795594396,transit,car,49.01210962396432,,15
119,1043.3,0.0,1.500955173380593,transit,car,71.24508770248251,,15
120,1456.2,0.0,3.033124318090456,transit,car,50.55624227441286,,15
121,1857.9,1.0,2.242463440587765,transit,car,45.09930566768933,,15
122,1864.5,0.0,0.7734157025154621,foot,car,96.78197908286404,,15
123,2201.6,1.0,1.7173222669071082,transit,car,48.219476744186046,,15
124,1782.3,3.0,2.271541714252708,transit,car,42.7705773438815,,15
125,1727.9,1.0,2.849171284441593,transit,car,40.96880606516581,,15
126,1302.2,1.0,2.425893954673822,transit,car,53.924128398095526,,15
127,1171.6,0.0,1.6294184662583455,transit,car,79.5151928986002,,15
128,844.5,0.0,3.86976143832919,transit,car,14.742451154529308,,15
129,1366.2,1.0,3.2442705947318995,transit,car,16.55687307861221,,15
130,2161.9,2.0,2.151938091230241,transit,car,16.739904713446503,,15
131,749.9,0.0,3.09488827031823,transit,car,59.994665955460725,,15
132,812.6,0.0,1.7125454063454293,transit,car,70.46517351710558,,15
133,1874.3,1.0,1.1797520664030798,transit,car,35.97609774315744,,15
134,1748.6,1.0,2.6282970228329,transit,car,38.23630332837699,,15
135,1618.0,1.0,1.834061647324228,transit,car,55.50061804697157,,15
136,1030.1,0.0,3.7564169436652297,transit,car,24.279196194544223,,15
137,1731.8,1.0,2.3352277184042496,transit,car,20.314124032798247,,15
138,406.1,0.0,1.7698957114267684,transit,transit,85.2253139620783,,15
139,995.5,0.0,2.5853029889528747,transit,car,57.81014565544952,,15
140,1431.2,1.0,1.942274585044174,transit,car,49.69256567915037,,15
141,2012.9,1.0,1.887639557944537,transit,car,40.38451984698693,,15
142,2547.2,2.0,1.233818992091532,transit,car,31.68969849246232,,15
143,1276.6,0.0,0.735151624827145,foot,car,81.20006266645777,,15
144,1884.7,3.0,2.2239520900851075,transit,car,33.145858757361914,,15
145,1830.3,1.0,2.7771532915076613,transit,car,31.15882642189805,,15
146,1404.6,1.0,2.375679429475745,transit,car,40.196497223408805,,15
147,1239.1,0.0,1.664248155518874,transit,car,80.6311032200791,,15
148,455.3,0.0,2.5054779548506367,transit,car,86.82187568636064,,15
149,507.6,0.0,0.1413566996714625,foot,car,88.17966903073285,,15
150,1631.3,1.0,2.091150958891963,transit,car,30.11708453380739,,15
151,1440.7,1.0,2.108882635042928,transit,car,50.02429374609565,,15
152,1475.9,0.0,3.999564695758354,transit,car,39.02025882512365,,15
153,1397.6,0.0,3.4490735375492725,transit,car,48.48311390955924,,15
154,2651.9,1.0,2.785867952580164,transit,car,25.33655115200422,,15
155,2461.3,1.0,3.178914746123984,transit,car,36.61885995205785,,15
156,894.8,0.0,1.945529513308732,transit,car,66.47295485024587,,15
157,1294.5,1.0,1.634010094116056,transit,car,58.285052143684815,,15
158,1329.0,1.0,1.182620873716407,transit,car,45.82392776523702,,15
159,1647.7,0.0,0.801275143586378,foot,car,92.71712083510349,,15
160,2072.0,0.0,2.863378154911685,transit,car,56.56370656370657,,15
161,1493.6,0.0,3.2469257565411307,transit,car,51.794322442421,,15
162,3320.5,1.0,2.231989895689076,transit,car,40.37042614064147,,15
163,2431.2,1.0,3.229988306984967,transit,car,35.83415597235933,,15
164,670.9,0.0,0.8538086498353503,foot,car,91.05678938739008,,15
165,1062.2,0.0,0.6837743674131074,foot,car,88.70269252494822,,15
166,1732.9,0.0,1.7201126173884764,transit,car,44.6015349991344,,15
167,1296.3,1.0,1.787548241910672,transit,car,72.2286507752835,,15
168,2236.6,0.0,2.0910821132603066,transit,car,54.39506393633193,,15
169,2499.9,1.0,1.9110196004309656,transit,car,35.19740789631585,,15
170,1474.1,1.0,0.9685893354466868,foot,car,67.43775863238587,,15
171,1421.8,0.0,2.367507221732459,transit,car,53.579969053312695,,15
172,1682.9,3.0,2.6671213596527665,transit,car,25.12924119080159,,15
173,1628.5,1.0,3.3471200381834705,transit,car,22.62818544673012,,15
174,1202.8,1.0,3.247319616706327,transit,car,30.16295310941137,,15
175,1359.8,0.0,1.788278729659287,transit,car,64.70069127812913,,15
176,1042.6,0.0,1.415523578519137,transit,car,71.22578169959718,,15
177,1690.2,1.0,1.1745245593578044,foot,car,57.401490947816825,,15
178,1558.8,0.0,1.201654165748954,transit,car,92.30177059276366,,15
179,1400.4,0.0,0.8572006723522835,foot,car,82.86203941730933,,15
180,2035.3,1.0,2.9366207043793744,transit,car,8.612980887338475,,15
181,2857.0,1.0,1.9219488840639,transit,car,9.695484774238713,,15
182,1472.2,0.0,2.1964050394332086,transit,car,51.09360141285152,,15
183,3021.6,2.0,1.8425792302369108,transit,car,32.48610007942812,,15
184,2053.3,3.0,1.9477279820008984,transit,car,50.32386889397555,,15
185,1998.9,1.0,2.370257997559667,transit,car,48.97193456401021,,15
186,1573.2,1.0,1.6211163430091042,transit,car,61.86117467581999,,15
187,1442.6,0.0,1.2974349437774222,transit,car,83.36337169000416,,15
188,429.9,0.0,0.7972145378763602,foot,car,86.04326587578508,,15
189,880.5,0.0,1.7075649864317253,transit,car,79.55706984667803,,15
190,2028.1,0.0,1.6848295044449073,transit,car,43.78975395690548,,15
191,1824.2,0.0,1.1148190682103174,transit,car,50.663304462230016,,15
192,723.0,0.0,0.3590555282330391,foot,car,91.701244813278,,15
193,774.0,0.0,1.7735789694694155,transit,car,76.74418604651162,,15
194,1650.2,0.0,2.1083560514624,transit,car,49.097079141922194,,15
195,1459.6,0.0,1.4951152634960894,transit,car,71.2249931488079,,15
196,891.4,0.0,1.1521512060008623,transit,car,73.07606013013238,,15
197,518.2,0.0,0.3959264134458705,foot,car,88.42145889617908,,15
198,2219.5,1.0,1.4356583506006124,transit,car,48.63708042351881,,15
199,1694.9,1.0,1.6661300446894365,transit,car,46.899522095698856,,15
200,1755.5,3.0,2.464848100593146,transit,car,28.225576758758187,,15
201,1701.1,1.0,3.1081935019711904,transit,car,25.930280406795607,,15
202,1275.4,1.0,2.9604377369004884,transit,car,34.138309549945106,,15
203,1432.4,0.0,1.5836067736238852,transit,car,66.48980731639207,,15
204,1673.7,0.0,2.6483317685471075,transit,car,6.793332138376051,,15
205,2255.4,4.0,1.9793642428562963,transit,car,9.550412343708434,,15
206,677.3,0.0,1.702030067714188,transit,car,82.28259264727595,,15
207,2899.1,2.0,1.1317187601807224,foot,car,15.146079817874517,,15
208,544.2,0.0,3.5349443712187334,transit,car,55.89856670341786,,15
209,1605.9,1.0,1.8314261429702776,transit,car,25.275546422566787,,15
210,1480.2,1.0,3.252845577813214,transit,car,27.036886907174708,,15
211,1349.6,1.0,2.1071766247879955,transit,car,46.65085951393006,,15
212,1072.9,0.0,1.42193463117854,transit,car,83.22304035790847,,15
213,1796.2,1.0,1.3258346321578605,transit,car,36.53268010243848,,15
214,2119.9,1.0,2.212248895180692,transit,car,51.884522854851646,,15
215,1603.2,1.0,1.863760012480605,transit,car,58.83233532934132,,15
216,1121.9,0.0,3.516216424102441,transit,car,35.8231571441305,,15
217,1523.6,1.0,2.505640141801045,transit,car,33.05329482803886,,15
218,550.0,0.0,1.532598154808642,transit,car,89.0909090909091,,15
219,1867.3,1.0,1.7051624931534917,transit,car,38.94928506399614,,15
220,2262.9,0.0,2.097317850701543,transit,car,54.92509611560387,,15
221,2526.2,1.0,1.916858945845816,transit,car,35.8720608027868,,15
222,1863.6,0.0,0.8019542167325852,foot,car,87.1216999356085,,15
223,1448.1,0.0,2.370293638470117,transit,car,54.42303708307438,,15
224,2659.6,1.0,2.495720587408442,transit,car,54.880433147841785,,15
225,3241.3,1.0,2.2137946154267176,transit,car,48.16894455928176,,15
226,3355.6,2.0,1.2260949233891163,transit,car,46.35832637978304,,15
227,2537.8,1.0,1.8147115990301192,transit,car,50.35069745448814,,15
228,2556.7,1.0,0.4007762421782469,foot,car,83.5725740211992,,15
229,1721.2,0.0,1.2635470022557942,transit,car,65.1405995816872,,15
230,2400.9,0.0,1.3695370337629462,transit,car,82.506560039985,,15
231,1658.5,0.0,0.8770954553331675,foot,car,92.7645462767561,,15
232,865.1,0.0,3.2112217067792788,transit,car,30.64385620159519,,15
233,1266.8,1.0,2.1783817047158163,transit,car,28.95484685822545,,15
234,318.6,0.0,1.9118829950945544,transit,car,81.16760828625236,,15
235,1610.5,1.0,1.385980639159346,transit,car,36.66563179136914,,15
236,688.8,0.0,0.3029718878720842,foot,car,91.28919860627178,,15
237,910.5,0.0,1.5118650995886922,transit,car,80.23064250411862,,15
238,1564.8,0.0,2.1006265253445267,transit,car,46.31901840490798,,15
239,1374.2,0.0,1.462137721623904,transit,car,69.43676320768446,,15
240,795.3,0.0,1.770526465407784,transit,car,69.82270841192003,,15
241,1857.0,1.0,1.2025589440956523,transit,car,35.37964458804524,,15
242,1731.3,1.0,2.661147203212288,transit,car,37.61913013342576,,15
243,1600.7,1.0,1.8547855058078544,transit,car,55.019678890485416,,15
244,540.7,0.0,0.5231431690214413,foot,car,88.90327353430737,,15
245,757.6,0.0,1.904967751575377,transit,car,76.24076029567054,,15
246,1617.0,0.0,2.0077680363632964,transit,car,48.05194805194805,,15
247,1426.4,0.0,1.351969049404671,transit,car,70.55524397083568,,15
248,1399.6,0.0,2.659984126041373,transit,car,48.55673049442698,,15
249,1981.3,4.0,1.964588887965721,transit,car,39.43370514308787,,15
250,835.6,0.0,0.6884471384756743,transit,car,92.81953087601724,,15
251,1365.0,0.0,1.810563733567236,transit,car,73.62637362637363,,15
252,1422.5,0.0,3.303492485678353,transit,car,32.513181019332166,,15
253,2124.2,1.0,2.249962768420501,transit,car,26.560587515299883,,15
254,738.5,0.0,1.946511370214401,transit,car,75.62626946513203,,15
255,1387.9,0.0,2.464255319845657,transit,car,56.7692196844153,,15
256,1213.3,0.0,2.118120996441696,transit,car,55.49328278249402,,15
257,1429.7,1.0,2.407802584444547,transit,car,41.2464153318878,,15
258,1413.2,1.0,1.7055968516580555,transit,car,70.28021511463345,,15
259,610.8,0.0,0.6892053551585471,foot,car,90.17681728880156,,15
260,1759.4,1.0,2.2554362694656627,transit,car,31.79493008980334,,15
261,2161.1,2.0,1.8321342290635765,transit,car,30.59090278099116,,15
262,529.6,0.0,1.3295423479439372,transit,car,88.67069486404833,,15
263,1723.1,0.0,1.731906218647375,transit,car,65.17903778074401,,15
264,2398.1,0.0,0.5188500058277966,foot,car,74.98019265251656,,15
265,2574.3,1.0,0.5270352439430156,foot,car,65.03903973895815,,15
266,1788.8,0.0,1.1764490367557252,foot,car,96.64579606440071,,15
267,3290.3,1.0,0.5725283085183883,foot,car,68.99978725344194,,15
268,888.2,0.0,0.0814921436794346,foot,car,86.4895293852736,,15
269,1289.9,1.0,0.8681750766968552,foot,car,67.43933638266533,,15
270,1644.2,0.0,1.960320705902612,transit,car,52.560515752341566,,15
271,1453.6,0.0,1.4754915230311147,transit,car,75.23390203632361,,15
272,1124.3,0.0,1.305053548351863,transit,car,78.65338432802632,,15
273,751.1,0.0,0.5323832023433315,foot,car,92.0117161496472,,15
274,2784.5,1.0,1.1303853330656373,transit,car,59.059077033578745,,15
275,2076.5,1.0,1.4979887385402662,transit,car,65.32627016614495,,15
276,278.6,0.0,3.5963008845147293,transit,car,78.4637473079684,,15
277,1040.3,0.0,2.0749733355577886,transit,car,30.78919542439681,,15
278,1201.9,1.0,2.772923273202676,transit,car,35.10275397287628,,15
279,1131.3,1.0,1.3340151553383912,transit,car,57.570936091222485,,15
280,1221.7,0.0,1.5462621135139196,transit,car,75.44405336825734,,15
281,1945.0,1.0,1.4519825748127546,transit,car,35.2185089974293,,15
282,2268.7,1.0,2.169644698849672,transit,car,49.75095869881431,,15
283,1752.0,1.0,1.738454951907473,transit,car,55.479452054794514,,15
284,1515.7,0.0,2.294008794847386,transit,car,64.37289701128192,,15
285,937.3,0.0,2.5611296345470147,transit,car,61.59180625200042,,15
286,2764.2,1.0,1.90456989575859,transit,car,41.393531582374656,,15
287,1874.9,1.0,2.8910086405310897,transit,car,35.996586484612514,,15
288,1238.8,1.0,2.469571403254247,transit,car,37.03584113658379,,15
289,1766.4,1.0,2.388898886191907,transit,car,35.461956521739125,,15
290,2354.8,2.0,1.877669445970652,transit,car,23.560387294037707,,15
291,1084.2,0.0,1.924361354700573,transit,car,72.32982844493635,,15
292,1868.4,0.0,1.9981367219334727,transit,car,64.67565831727681,,15
293,1808.1,1.0,2.5363005385115702,transit,car,43.58719097395056,,15
294,1791.6,1.0,1.5941891693224095,transit,car,66.5103817816477,,15
295,989.2,0.0,1.6015935678009432,transit,car,75.73797007682977,,15
296,2284.4,1.0,2.4501700357999736,transit,car,18.578182454911573,,15
297,3125.7,1.0,1.6230888290292669,transit,car,17.45848929839716,,15
298,1305.4,0.0,2.2943219898861087,transit,car,44.844492109698166,,15
299,2817.6,2.0,1.882082333066505,transit,car,27.597955706984667,,15
300,1693.8,0.0,2.7929053395005004,transit,car,43.32270634077224,,15
301,2275.5,4.0,2.151693387469904,transit,car,36.71720500988794,,15
302,1060.9,0.0,1.4552336231569578,transit,car,66.06654727118483,,15
303,1213.0,0.0,2.722187331359815,transit,car,45.58944765045342,,15
304,1871.2,3.0,2.438003794104197,transit,car,42.28302693458743,,15
305,1816.8,1.0,3.0047750893018086,transit,car,40.55482166446499,,15
306,1391.1,1.0,2.6122428669997646,transit,car,52.55553159370283,,15
